Gol,Jornada,Minuto,Equipo,Goleador,Rival,Local,Resultado,Resultado Final,Penalty,Propia Puerta
1,1,50,Granada,Rochina,Eibar,1,1-2,1-3,0,0
2,1,22,Eibar,Adrián,Granada,0,0-1,1-3,0,0
3,1,35,Eibar,Escalante,Granada,0,0-2,1-3,0,0
4,1,67,Eibar,Arruabarrena,Granada,0,1-3,1-3,0,0
5,1,87,Betis,Rubén Castro,Villarreal,1,1-1,1-1,0,0
6,1,32,Villarreal,Soldado,Betis,0,0-1,1-1,0,0
7,1,54,Levante,Verza,Celta,1,1-1,1-2,0,0
8,1,40,Celta,Orellana,Levante,0,0-1,1-2,0,0
9,1,76,Celta,Iago Aspas,Levante,0,1-2,1-2,0,0
10,1,53,Barcelona,Luis Suárez,Athletic,0,0-1,0-1,0,0
11,1,16,Atlético,Griezmann,Las Palmas,1,1-0,1-0,0,0
12,1,3,Espanyol,Salva Sevilla,Getafe,1,1-0,1-0,0,0
13,2,45,Valencia,Negredo,Deportivo,1,1-1,1-1,0,0
14,2,39,Deportivo,Lucas Pérez,Valencia,0,0-1,1-1,0,0
15,2,35,Atlético,Koke,Sevilla,0,0-1,0-3,0,0
16,2,78,Atlético,Gabi,Sevilla,0,0-2,0-3,0,0
17,2,85,Atlético,Jackson Martínez,Sevilla,0,0-3,0-3,0,0
18,2,79,Getafe,Lafita,Granada,1,1-2,1-2,0,0
19,2,25,Granada,El-Arabi,Getafe,0,0-1,1-2,0,0
20,2,28,Granada,Success,Getafe,0,0-2,1-2,0,0
21,2,67,Villarreal,Soldado,Espanyol,1,1-1,3-1,0,0
22,2,87,Villarreal,Bakambu,Espanyol,1,2-1,3-1,0,0
23,2,92,Villarreal,Bakambu,Espanyol,1,3-1,3-1,0,0
24,2,6,Espanyol,Caicedo,Villarreal,0,0-1,3-1,0,0
25,2,73,Barcelona,Vermaelen,Málaga,1,1-0,1-0,0,0
26,2,11,Celta,Nolito,Rayo,1,1-0,3-0,0,0
27,2,50,Celta,Nolito,Rayo,1,2-0,3-0,0,0
28,2,88,Celta,Fontás,Rayo,1,3-0,3-0,0,0
29,2,2,R. Madrid,Bale,Betis,1,1-0,5-0,0,0
30,2,38,R. Madrid,James Rodríguez,Betis,1,2-0,5-0,0,0
31,2,47,R. Madrid,Benzema,Betis,1,3-0,5-0,0,0
32,2,49,R. Madrid,James Rodríguez,Betis,1,4-0,5-0,0,0
33,2,88,R. Madrid,Bale,Betis,1,5-0,5-0,0,0
34,2,34,Eibar,Saúl Berjón,Athletic,1,1-0,2-0,0,0
35,2,61,Eibar,Adrián,Athletic,1,2-0,2-0,0,0
36,3,27,Rayo,Embarba,Deportivo,1,1-1,1-3,0,0
37,3,7,Deportivo,Borges,Rayo,0,0-1,1-3,0,0
38,3,28,Deportivo,Luis Alberto,Rayo,0,1-2,1-3,0,0
39,3,61,Deportivo,Lucas Pérez,Rayo,0,1-3,1-3,0,0
40,3,13,Celta,Orellana,Las Palmas,1,1-0,3-3,1,0
41,3,17,Celta,Wass,Las Palmas,1,2-0,3-3,0,0
42,3,48,Celta,Nolito,Las Palmas,1,3-1,3-3,0,0
43,3,23,Las Palmas,Araujo,Celta,0,2-1,3-3,0,0
44,3,61,Las Palmas,Hernández,Celta,0,3-2,3-3,0,1
45,3,73,Las Palmas,Simón,Celta,0,3-3,3-3,0,0
46,3,6,Athletic,Aduriz,Getafe,1,1-0,3-1,0,0
47,3,24,Athletic,Raúl García,Getafe,1,2-0,3-1,0,0
48,3,83,Athletic,Aduriz,Getafe,1,3-1,3-1,0,0
49,3,69,Getafe,Velázquez,Athletic,0,2-1,3-1,0,0
50,3,73,Granada,Fran Rico,Villarreal,1,1-2,1-3,0,0
51,3,48,Villarreal,Manu Trigueros,Granada,0,0-1,1-3,0,0
52,3,51,Villarreal,Bakambu,Granada,0,0-2,1-3,0,0
53,3,91,Villarreal,Samuel,Granada,0,1-3,1-3,0,0
54,3,41,Betis,Rubén Castro,R. Sociedad,1,1-0,1-0,0,0
55,3,51,Atlético,Fernando Torres,Barcelona,1,1-0,1-2,0,0
56,3,54,Barcelona,Neymar,Atlético,0,1-1,1-2,0,0
57,3,76,Barcelona,Messi,Atlético,0,1-2,1-2,0,0
58,3,91,Valencia,Paco Alcácer,Sporting,0,0-1,0-1,0,0
59,3,7,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-1,0-6,0,0
60,3,17,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-2,0-6,1,0
61,3,19,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-3,0-6,0,0
62,3,29,R. Madrid,Benzema,Espanyol,0,0-4,0-6,0,0
63,3,61,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-5,0-6,0,0
64,3,80,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-6,0-6,0,0
65,3,58,Levante,Camarasa,Sevilla,1,1-1,1-1,0,0
66,3,12,Sevilla,N'Zonzi,Levante,0,0-1,1-1,0,0
67,4,2,Getafe,Scepovic,Málaga,1,1-0,1-0,0,0
68,4,54,R. Madrid,Benzema,Granada,1,1-0,1-0,0,0
69,4,62,Atlético,Correa,Eibar,0,0-1,0-2,0,0
70,4,78,Atlético,Fernando Torres,Eibar,0,0-2,0-2,0,0
71,4,19,R. Sociedad,Agirretxe,Espanyol,1,1-0,2-3,0,0
72,4,86,R. Sociedad,Jonathas,Espanyol,1,2-2,2-3,0,0
73,4,44,Espanyol,Gerard Moreno,R. Sociedad,0,1-1,2-3,1,0
74,4,70,Espanyol,Enzo Roco,R. Sociedad,0,1-2,2-3,0,0
75,4,90,Espanyol,Hernán Pérez,R. Sociedad,0,2-3,2-3,0,0
76,4,54,Sevilla,Fernando Llorente,Celta,1,1-2,1-2,0,0
77,4,15,Celta,Nolito,Sevilla,0,0-1,1-2,0,0
78,4,26,Celta,Wass,Sevilla,0,0-2,1-2,0,0
79,4,16,Deportivo,Juanfran,Sporting,1,1-2,2-3,0,0
80,4,27,Deportivo,Luis Alberto,Sporting,1,2-2,2-3,0,0
81,4,4,Sporting,Sanabria,Deportivo,0,0-1,2-3,0,0
82,4,7,Sporting,Sanabria,Deportivo,0,0-2,2-3,0,0
83,4,34,Sporting,Álex Menéndez,Deportivo,0,2-3,2-3,0,0
84,4,43,Villarreal,Bruno,Athletic,1,1-0,3-1,1,0
85,4,66,Villarreal,Mario,Athletic,1,2-0,3-1,0,0
86,4,79,Villarreal,Leo Baptistao,Athletic,1,3-0,3-1,0,0
87,4,92,Athletic,Aduriz,Villarreal,0,3-1,3-1,0,0
88,4,49,Barcelona,Bartra,Levante,1,1-0,4-1,0,0
89,4,55,Barcelona,Neymar,Levante,1,2-0,4-1,0,0
90,4,60,Barcelona,Messi,Levante,1,3-0,4-1,0,0
91,4,89,Barcelona,Messi,Levante,1,4-1,4-1,0,0
92,4,65,Levante,Casadesús,Barcelona,0,3-1,4-1,0,0
93,4,41,Rayo,Javi Guerra,Las Palmas,0,0-1,0-1,0,0
94,5,69,Betis,Petros,Deportivo,1,1-1,1-2,0,0
95,5,54,Deportivo,Fede Cartabia,Betis,0,0-1,1-2,0,0
96,5,72,Deportivo,Fajr,Betis,0,1-2,1-2,0,0
97,5,71,Villarreal,Tissone,Málaga,0,0-1,0-1,0,1
98,5,30,Las Palmas,Roque,Sevilla,1,1-0,2-0,0,0
99,5,76,Las Palmas,Alcaraz,Sevilla,1,2-0,2-0,0,0
100,5,67,Athletic,Sabin Merino,R. Madrid,1,1-1,1-2,0,0
101,5,19,R. Madrid,Benzema,Athletic,0,0-1,1-2,0,0
102,5,70,R. Madrid,Benzema,Athletic,0,1-2,1-2,0,0
103,5,39,Rayo,Trashorras,Sporting,1,1-0,2-1,1,0
104,5,47,Rayo,Javi Guerra,Sporting,1,2-0,2-1,0,0
105,5,50,Sporting,Jony,Rayo,0,2-1,2-1,0,0
106,5,52,Levante,Morales,Eibar,1,1-2,2-2,0,0
107,5,93,Levante,Deyverson,Eibar,1,2-2,2-2,0,0
108,5,10,Eibar,Borja Bastón,Levante,0,0-1,2-2,0,0
109,5,48,Eibar,Borja Bastón,Levante,0,0-2,2-2,0,0
110,5,25,Celta,Nolito,Barcelona,1,1-0,4-1,0,0
111,5,29,Celta,Iago Aspas,Barcelona,1,2-0,4-1,0,0
112,5,55,Celta,Iago Aspas,Barcelona,1,3-0,4-1,0,0
113,5,81,Celta,Guidetti,Barcelona,1,4-1,4-1,0,0
114,5,79,Barcelona,Neymar,Celta,0,3-1,4-1,0,0
115,5,7,R. Sociedad,Agirretxe,Granada,0,0-1,0-3,0,0
116,5,33,R. Sociedad,Agirretxe,Granada,0,0-2,0-3,0,0
117,5,79,R. Sociedad,Agirretxe,Granada,0,0-3,0-3,0,0
118,5,18,Espanyol,Víctor Álvarez,Valencia,1,1-0,1-0,0,0
119,5,4,Atlético,Griezmann,Getafe,1,1-0,2-0,0,0
120,5,89,Atlético,Griezmann,Getafe,1,2-0,2-0,0,0
121,6,17,Sporting,Carlos Castro,Betis,1,1-0,1-2,0,0
122,6,46,Betis,Joaquín,Sporting,0,1-1,1-2,0,0
123,6,57,Betis,Rubén Castro,Sporting,0,1-2,1-2,0,0
124,6,14,Deportivo,Álvaro,Espanyol,1,1-0,3-0,0,1
125,6,27,Deportivo,Lucas Pérez,Espanyol,1,2-0,3-0,0,0
126,6,47,Deportivo,Lucas Pérez,Espanyol,1,3-0,3-0,0,0
127,6,81,Getafe,Álvaro Vázquez,Levante,1,1-0,3-0,0,0
128,6,90,Getafe,Emi,Levante,1,2-0,3-0,0,0
129,6,91,Getafe,Álvaro Vázquez,Levante,1,3-0,3-0,0,0
130,6,27,Valencia,Mustafi,Granada,1,1-0,1-0,0,0
131,6,24,Barcelona,Luis Suárez,Las Palmas,1,1-0,2-1,0,0
132,6,52,Barcelona,Luis Suárez,Las Palmas,1,2-0,2-1,0,0
133,6,87,Las Palmas,Jonathan Viera,Barcelona,0,2-1,2-1,0,0
134,6,14,Villarreal,Leo Baptistao,Atlético,1,1-0,1-0,0,0
135,6,23,Sevilla,Gameiro,Rayo,1,1-0,3-2,0,0
136,6,46,Sevilla,N'Zonzi,Rayo,1,2-0,3-2,0,0
137,6,86,Sevilla,Konoplyanka,Rayo,1,3-2,3-2,0,0
138,6,51,Rayo,Bebé,Sevilla,0,2-1,3-2,0,0
139,6,68,Rayo,Javi Guerra,Sevilla,0,2-2,3-2,0,0
140,6,2,Eibar,Borja Bastón,Celta,1,1-0,1-1,0,0
141,6,76,Celta,Iago Aspas,Eibar,0,1-1,1-1,0,0
142,7,52,Sevilla,Krohn-Dehli,Barcelona,1,1-0,2-1,0,0
143,7,58,Sevilla,Iborra,Barcelona,1,2-0,2-1,0,0
144,7,74,Barcelona,Neymar,Sevilla,0,2-1,2-1,1,0
145,7,65,Granada,Piti,Deportivo,1,1-1,1-1,0,0
146,7,25,Deportivo, Fajr,Granada,0,0-1,1-1,0,0
147,7,62,Espanyol,Caicedo,Sporting,1,1-1,1-2,0,0
148,7,9,Sporting,Halilovic,Espanyol,0,0-1,1-2,0,0
149,7,92,Sporting,Álex Menéndez,Espanyol,0,1-2,1-2,0,0
150,7,6,Eibar,Saúl Berjón,Las Palmas,0,0-1,0-2,0,0
151,7,61,Eibar,Borja Bastón,Las Palmas,0,0-2,0-2,0,0
152,7,4,Málaga,Charles,R. Sociedad,1,1-0,3-1,0,0
153,7,7,Málaga,Charles,R. Sociedad,1,2-0,3-1,0,0
154,7,89,Málaga,Charles,R. Sociedad,1,3-1,3-1,0,0
155,7,14,R. Sociedad,Agirretxe,Málaga,0,2-1,3-1,0,0
156,7,20,Betis,Westermann,Rayo,0,0-1,0-2,0,0
157,7,61,Betis,Rubén Castro,Rayo,0,0-2,0-2,0,0
158,7,33,Athletic,Laporte,Valencia,1,1-1,3-1,0,0
159,7,59,Athletic,Susaeta,Valencia,1,2-1,3-1,0,0
160,7,68,Athletic,Aduriz,Valencia,1,3-1,3-1,0,0
161,7,19,Valencia,Parejo,Athletic,0,0-1,3-1,0,0
162,7,82,Levante,Deyverson,Villarreal,1,1-0,1-0,0,0
163,7,83,Atlético,Vietto,R. Madrid,1,1-1,1-1,0,0
